iter	Passed	Remaining
0	151	104007
1	158	54224
2	166	37808
3	172	29411
4	180	24523
5	197	22358
6	206	20009
7	213	18098
8	219	16496
9	225	15230
10	232	14240
11	238	13385
12	244	12680
13	250	12036
14	256	11461
15	261	10962
16	266	10506
17	271	10093
18	278	9760
19	283	9431
20	288	9139
21	294	8882
22	299	8637
23	304	8409
24	310	8205
25	315	8014
26	321	7837
27	326	7684
28	334	7584
29	339	7431
30	344	7282
31	349	7140
32	354	7010
33	359	6895
34	364	6779
35	369	6667
36	374	6566
37	379	6465
38	383	6368
39	389	6290
40	394	6203
41	398	6117
42	403	6040
43	408	5962
44	413	5889
45	418	5815
46	423	5752
47	428	5689
48	432	5625
49	438	5572
50	442	5514
51	448	5462
52	453	5417
53	458	5367
54	463	5315
55	468	5272
56	473	5223
57	478	5177
58	483	5142
59	489	5106
60	495	5073
61	500	5040
62	508	5031
63	516	5018
64	521	4982
65	526	4948
66	532	4920
67	538	4891
68	543	4856
69	547	4822
70	552	4788
71	557	4757
72	562	4727
73	568	4699
74	573	4672
75	578	4647
76	584	4622
77	590	4599
78	595	4576
79	600	4551
80	612	4576
81	619	4566
82	626	4554
83	632	4533
84	638	4516
85	644	4499
86	651	4486
87	658	4473
88	665	4464
89	671	4449
90	678	4438
91	685	4428
92	693	4420
93	698	4397
94	703	4374
95	708	4356
96	714	4339
97	719	4319
98	725	4301
99	730	4281
100	735	4261
101	741	4243
102	746	4223
103	751	4207
104	757	4191
105	763	4175
106	768	4157
107	774	4143
108	779	4127
109	785	4111
110	790	4094
111	795	4077
112	801	4063
113	806	4047
114	811	4029
115	816	4013
116	822	3998
117	827	3983
118	832	3968
119	838	3953
120	843	3936
121	848	3924
122	854	3910
123	859	3894
124	864	3881
125	870	3867
126	875	3851
127	880	3837
128	885	3821
129	889	3806
130	895	3792
131	900	3777
132	905	3763
133	910	3748
134	915	3735
135	920	3721
136	925	3708
137	930	3694
138	935	3681
139	941	3670
140	947	3662
141	953	3652
142	960	3645
143	965	3634
144	970	3622
145	976	3610
146	981	3597
147	987	3588
148	992	3578
149	998	3568
150	1004	3557
151	1009	3548
152	1016	3539
153	1021	3528
154	1026	3518
155	1032	3508
156	1038	3497
157	1044	3488
158	1049	3478
159	1054	3467
160	1060	3459
161	1066	3448
162	1071	3436
163	1075	3424
164	1080	3412
165	1085	3400
166	1092	3396
167	1099	3389
168	1106	3386
169	1112	3376
170	1117	3365
171	1122	3354
172	1130	3351
173	1135	3341
174	1140	3331
175	1145	3320
176	1151	3310
177	1156	3301
178	1161	3291
179	1175	3303
180	1220	3406
181	1234	3419
182	1241	3412
183	1247	3403
184	1253	3393
185	1258	3381
186	1262	3370
187	1268	3359
188	1273	3348
189	1278	3336
190	1283	3326
191	1289	3316
192	1294	3305
193	1299	3295
194	1304	3285
195	1310	3275
196	1315	3264
197	1320	3254
198	1325	3244
199	1331	3234
200	1336	3225
201	1341	3215
202	1347	3206
203	1353	3197
204	1361	3194
205	1369	3190
206	1374	3181
207	1380	3173
208	1388	3169
209	1396	3165
210	1403	3160
211	1410	3152
212	1416	3145
213	1422	3137
214	1428	3128
215	1433	3120
216	1439	3110
217	1445	3103
218	1451	3094
219	1456	3084
220	1461	3075
221	1467	3066
222	1476	3065
223	1484	3061
224	1492	3057
225	1499	3051
226	1510	3054
227	1518	3050
228	1526	3046
229	1538	3050
230	1548	3050
231	1554	3042
232	1561	3035
233	1570	3033
234	1578	3029
235	1586	3024
236	1592	3017
237	1598	3008
238	1604	3000
239	1610	2992
240	1616	2984
241	1621	2975
242	1627	2967
243	1634	2960
244	1641	2955
245	1651	2954
246	1660	2950
247	1669	2949
248	1677	2943
249	1684	2937
250	1691	2931
251	1698	2925
252	1706	2921
253	1715	2917
254	1724	2913
255	1736	2917
256	1745	2913
257	1753	2909
258	1760	2902
259	1769	2898
260	1777	2894
261	1786	2891
262	1793	2884
263	1800	2878
264	1807	2871
265	1814	2864
266	1821	2857
267	1827	2850
268	1834	2844
269	1841	2836
270	1848	2830
271	1855	2824
272	1862	2817
273	1869	2810
274	1875	2802
275	1882	2795
276	1890	2791
277	1898	2786
278	1906	2781
279	1914	2776
280	1931	2783
281	1938	2777
282	1945	2770
283	1951	2762
284	1957	2753
285	1963	2745
286	1970	2740
287	1976	2731
288	1982	2723
289	1988	2715
290	1994	2707
291	2000	2699
292	2006	2691
293	2012	2683
294	2018	2675
295	2025	2668
296	2031	2660
297	2037	2652
298	2043	2644
299	2048	2636
300	2055	2628
301	2061	2620
302	2066	2612
303	2073	2605
304	2079	2597
305	2085	2589
306	2091	2581
307	2096	2573
308	2103	2566
309	2109	2559
310	2115	2550
311	2120	2542
312	2125	2533
313	2130	2524
314	2136	2515
315	2140	2506
316	2145	2497
317	2151	2489
318	2156	2481
319	2161	2472
320	2166	2463
321	2171	2454
322	2176	2445
323	2181	2437
324	2186	2428
325	2191	2419
326	2196	2411
327	2201	2402
328	2206	2394
329	2211	2385
330	2216	2376
331	2220	2368
332	2225	2359
333	2230	2350
334	2235	2342
335	2240	2333
336	2245	2325
337	2250	2317
338	2255	2308
339	2260	2300
340	2265	2291
341	2269	2283
342	2274	2274
343	2279	2266
344	2284	2258
345	2289	2249
346	2294	2241
347	2299	2233
348	2304	2224
349	2309	2216
350	2313	2208
351	2318	2200
352	2323	2192
353	2328	2184
354	2333	2176
355	2338	2167
356	2343	2159
357	2349	2152
358	2354	2144
359	2359	2136
360	2364	2128
